"","executive_order_number","title","publication_date","signing_date","citation","document_number","executive_order_notes","html_url","president","year"
"44",13530,"President's Advisory Council on Financial Capability","02/03/2010","01/29/2010","75 FR 5481"," 2010-2419","Amended by: EO 13591, November 23, 2011","https://www.federalregister.gov/articles/2010/02/03/2010-2419/presidents-advisory-council-on-financial-capability","Obama",2010
"45",13531,"National Commission on Fiscal Responsibility and Reform","02/23/2010","02/18/2010","75 FR 7927"," 2010-3725","","https://www.federalregister.gov/articles/2010/02/23/2010-3725/national-commission-on-fiscal-responsibility-and-reform","Obama",2010
"46",13532,"Promoting Excellence, Innovation, and Sustainability at Historically Black Colleges and Universities","03/03/2010","02/26/2010","75 FR 9747"," 2010-4593","See: EO 13591, November 23, 2011
; Amended by: EO 13569, April 5, 2011
; Continued by: EO 13652, September 30, 2013
; Revokes: EO 13256, February 12, 2002
; See: EO 13591, November 23, 2011; EO 13621, July 26, 2012","https://www.federalregister.gov/articles/2010/03/03/2010-4593/promoting-excellence-innovation-and-sustainability-at-historically-black-colleges-and-universities","Obama",2010
"47",13533,"Providing an Order of Succession Within the Department of Defense","03/05/2010","03/01/2010","75 FR 10163"," 2010-4884","Revokes: EO 13394, December 22, 2005","https://www.federalregister.gov/articles/2010/03/05/2010-4884/providing-an-order-of-succession-within-the-department-of-defense","Obama",2010
"48",13534,"National Export Initiative","03/16/2010","03/11/2010","75 FR 12433"," 2010-5837","See: EO 12870, September 30, 1993; EO 13630, December 6, 2012","https://www.federalregister.gov/articles/2010/03/16/2010-5837/national-export-initiative","Obama",2010
"49",13535,"Ensuring Enforcement and Implementation of Abortion Restrictions in the Patient Protection and Affordable Care Act","03/29/2010","03/24/2010","75 FR 15597"," 2010-7154","","https://www.federalregister.gov/articles/2010/03/29/2010-7154/ensuring-enforcement-and-implementation-of-abortion-restrictions-in-the-patient-protection-and","Obama",2010
"50",13536,"Blocking Property of Certain Persons Contributing to the Conflict in Somalia","04/15/2010","04/12/2010","75 FR 19869"," 2010-8878","See: EO 13620, July 20, 2012","https://www.federalregister.gov/articles/2010/04/15/2010-8878/blocking-property-of-certain-persons-contributing-to-the-conflict-in-somalia","Obama",2010
"51",13537,"Interagency Group on Insular Areas","04/19/2010","04/14/2010","75 FR 20237"," 2010-9078","Supersedes: EO 13299, May 8, 2003","https://www.federalregister.gov/articles/2010/04/19/2010-9078/interagency-group-on-insular-areas","Obama",2010
"52",13538,"Establishing the President's Management Advisory Board","04/22/2010","04/19/2010","75 FR 20895"," 2010-9451","Amended by: EO 13652, September 30, 2013
; Continued by: EO 13652, September 30, 2013
; See: EO 13591, November 23, 2011","https://www.federalregister.gov/articles/2010/04/22/2010-9451/establishing-the-presidents-management-advisory-board","Obama",2010
"53",13539,"President's Council of Advisors on Science and Technology","04/27/2010","04/21/2010","75 FR 21973"," 2010-9796","Revokes: EO 13226, September 30, 2001;
; ;  See: EO 12968, August 2, 1995; EO 13591, November 23, 2011;
; ;  Amended by: EO 13596, December 19, 2011
; Continued by: EO 13652, September 30, 2013","https://www.federalregister.gov/articles/2010/04/27/2010-9796/presidents-council-of-advisors-on-science-and-technology","Obama",2010
"54",13540,"Interagency Task Force on Veterans Small Business Development","04/29/2010","04/26/2010","75 FR 22497"," 2010-10172","Continued by: EO 13652, September 30, 2013
; Supersedes: EO 13299, May 8, 2003","https://www.federalregister.gov/articles/2010/04/29/2010-10172/interagency-task-force-on-veterans-small-business-development","Obama",2010
"55",13541,"Temporary Organization To Facilitate a Strategic Partnership With the Republic of Iraq","05/12/2010","05/07/2010","75 FR 26879"," 2010-11557","","https://www.federalregister.gov/articles/2010/05/12/2010-11557/temporary-organization-to-facilitate-a-strategic-partnership-with-the-republic-of-iraq","Obama",2010
"56",13542,"Providing an Order of Succession Within the Department of Agriculture","05/18/2010","05/13/2010","75 FR 27921"," 2010-12070","Revokes: EO 13241, December 18, 2001","https://www.federalregister.gov/articles/2010/05/18/2010-12070/providing-an-order-of-succession-within-the-department-of-agriculture","Obama",2010
"57",13543,"National Commission on the BP Deepwater Horizon Oil Spill and Offshore Drilling","05/26/2010","05/21/2010","75 FR 29397"," 2010-12805","","https://www.federalregister.gov/articles/2010/05/26/2010-12805/national-commission-on-the-bp-deepwater-horizon-oil-spill-and-offshore-drilling","Obama",2010
"58",13544,"Establishing the National Prevention, Health Promotion, and Public Health Council","06/16/2010","06/10/2010","75 FR 33983"," 2010-14613","See: EO 13591, November 23, 2011; EO 13631, December 7, 2012; EO 13652, September 30, 2013","https://www.federalregister.gov/articles/2010/06/16/2010-14613/establishing-the-national-prevention-health-promotion-and-public-health-council","Obama",2010
"59",13545,"President's Council on Fitness, Sports, and Nutrition","06/28/2010","06/22/2010","75 FR 37281"," 2010-15851","See: EO 10830, July 24, 1959","https://www.federalregister.gov/articles/2010/06/28/2010-15851/presidents-council-on-fitness-sports-and-nutrition","Obama",2010
"60",13546,"Optimizing the Security of Biological Select Agents and Toxins in the United States","07/08/2010","07/02/2010","75 FR 39437"," 2010-16864","","https://www.federalregister.gov/articles/2010/07/08/2010-16864/optimizing-the-security-of-biological-select-agents-and-toxins-in-the-united-states","Obama",2010
"61",13547,"Stewardship of the Ocean, Our Coasts, and the Great Lakes","07/22/2010","07/19/2010","75 FR 43021"," 2010-18169","Revokes: EO 13366, December 17, 2004","https://www.federalregister.gov/articles/2010/07/22/2010-18169/stewardship-of-the-ocean-our-coasts-and-the-great-lakes","Obama",2010
"62",13548,"Increasing Federal Employment of Individuals With Disabilities","07/30/2010","07/26/2010","75 FR 45039"," 2010-18988","See: EO 13163, July 26, 2000; EO 13583, August 18, 2011","https://www.federalregister.gov/articles/2010/07/30/2010-18988/increasing-federal-employment-of-individuals-with-disabilities","Obama",2010
"63",13549,"Classified National Security Information Program for State, Local, Tribal, and Private Sector Entities","08/23/2010","08/18/2010","75 FR 51609"," 2010-21016","See: EO 12333, December 4, 1981; EO 12829, January 6, 1993; EO 12968, August 2, 1995; EO 13467, June 30, 2008; EO 13526, December 29, 2009; EO 13591, November 23, 2011; EO 13636, February 12, 2013
; tinued by: EO 13652, September 30, 2013","https://www.federalregister.gov/articles/2010/08/23/2010-21016/classified-national-security-information-program-for-state-local-tribal-and-private-sector-entities","Obama",2010
"64",13550,"Establishment of Pakistan and Afghanistan Support Office","08/23/2010","08/18/2010","75 FR 51615"," 2010-21020","","https://www.federalregister.gov/articles/2010/08/23/2010-21020/establishment-of-pakistan-and-afghanistan-support-office","Obama",2010
"65",13551,"Blocking Property of Certain Persons With Respect to North Korea","09/01/2010","08/30/2010","75 FR 53837"," X10-10901","See: EO 13466, June 26, 2008; EO 13570, April 18, 2011","https://www.federalregister.gov/articles/2010/09/01/X10-10901/blocking-property-of-certain-persons-with-respect-to-north-korea","Obama",2010
"66",13552,"[No title available]","09/03/2010","08/31/2010","75 FR 54261"," 2010-22279","See: EO 12473, April 13, 1984","https://www.federalregister.gov/articles/2010/09/03/2010-22279/no-title-available","Obama",2010
"67",13553,"Blocking Property of Certain Persons With Respect to Serious Human Rights Abuses by the Government of Iran and Taking Certain Other Actions","10/01/2010","09/28/2010","75 FR 60567"," 2010-24839","See: EO 12957, March 15, 1995","https://www.federalregister.gov/articles/2010/10/01/2010-24839/blocking-property-of-certain-persons-with-respect-to-serious-human-rights-abuses-by-the-government","Obama",2010
"68",13554,"Establishing the Gulf Coast Ecosystem Restoration Task Force","10/08/2010","10/05/2010","75 FR 62313"," 2010-25578","See: EO 13626, September 10, 2012","https://www.federalregister.gov/articles/2010/10/08/2010-25578/establishing-the-gulf-coast-ecosystem-restoration-task-force","Obama",2010
"69",13555,"White House Initiative on Educational Excellence for Hispanics","10/22/2010","10/19/2010","75 FR 65415"," 2010-27004","See: EO 13634, December 21, 2012; EO 13652, September 30, 2013","https://www.federalregister.gov/articles/2010/10/22/2010-27004/white-house-initiative-on-educational-excellence-for-hispanics","Obama",2010
"70",13556,"Controlled Unclassified Information","11/09/2010","11/04/2010","75 FR 68675"," 2010-28360","Revokes: Memorandum of May 7, 2008;
; ;  See: EO 13526, December 29, 2009","https://www.federalregister.gov/articles/2010/11/09/2010-28360/controlled-unclassified-information","Obama",2010
"71",13557,"Providing an Order of Succession Within the Department of Justice","11/09/2010","11/04/2010","75 FR 68679"," 2010-28365","Revokes: EO 13481, December 9, 2008","https://www.federalregister.gov/articles/2010/11/09/2010-28365/providing-an-order-of-succession-within-the-department-of-justice","Obama",2010
"72",13558,"Export Enforcement Coordination Center","11/15/2010","11/09/2010","75 FR 69573"," 2010-28854","","https://www.federalregister.gov/articles/2010/11/15/2010-28854/export-enforcement-coordination-center","Obama",2010
"73",13559,"Fundamental Principles and Policymaking Criteria for Partnerships With Faith-Based and Other Neighborhood Organizations","11/22/2010","11/17/2010","75 FR 71317"," 2010-29579","Amends: EO 13279, December 12, 2002;
; ;  See: EO 13198, January 29, 2001; EO 13199, January 29, 2001; EO 13498, February 5, 2009","https://www.federalregister.gov/articles/2010/11/22/2010-29579/fundamental-principles-and-policymaking-criteria-for-partnerships-with-faith-based-and-other","Obama",2010
"74",13560,"White House Council for Community Solutions","12/17/2010","12/14/2010","75 FR 78875"," 2010-31878","","https://www.federalregister.gov/articles/2010/12/17/2010-31878/white-house-council-for-community-solutions","Obama",2010
"75",13562,"Recruiting and Hiring Students and Recent Graduates","12/30/2010","12/27/2010","75 FR 82583"," 2010-33169","Supersedes: EO 12015, October 26, 1977;
; ;  Revokes: EO 13318, November 21, 2003; EO 13162, July 6, 2000","https://www.federalregister.gov/articles/2010/12/30/2010-33169/recruiting-and-hiring-students-and-recent-graduates","Obama",2010
